,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Saint Paul Harbor,57.79,-152.4072,56.71,88,75,5.75,US,1661371707
1,Mataura,-46.1927,168.8643,32.49,86,100,2.53,NZ,1661371708
2,Ugoofaaru,5.6667,73.0,77.74,84,100,13.53,MV,1661371708
3,Kralendijk,12.15,-68.2667,87.78,66,0,19.57,BQ,1661371709
4,Castro,-24.7911,-50.0119,65.32,65,59,3.78,BR,1661371710
5,Busselton,-33.65,115.3333,52.75,67,96,7.81,AU,1661371711
6,Geraldton,-28.7667,114.6,48.61,71,100,10.36,AU,1661371711
7,New Norfolk,-42.7826,147.0587,48.92,88,100,3.06,AU,1661371712
8,Port Alfred,-33.5906,26.891,71.19,42,3,1.01,ZA,1661371712
9,Port Elizabeth,-33.918,25.5701,77.29,45,0,9.22,ZA,1661371612
10,Hermanus,-34.4187,19.2345,59.81,81,1,14.03,ZA,1661371713
11,Namatanai,-3.6667,152.4333,77.7,82,86,3.69,PG,1661371714
12,Hilo,19.7297,-155.09,91.27,73,75,5.75,US,1661371714
13,Evensk,61.95,159.2333,51.08,93,100,11.36,RU,1661371715
14,Rikitea,-23.1203,-134.9692,69.24,68,100,14.23,PF,1661371715
15,Aklavik,68.2191,-135.0107,61.9,75,100,3.49,CA,1661371616
16,Qaanaaq,77.484,-69.3632,37.83,94,100,8.61,GL,1661371716
17,Yelniki,54.6207,43.876,67.48,47,92,6.51,RU,1661371716
18,Ledyard Center,41.4398,-72.0142,89.06,62,0,12.66,US,1661371717
19,Carballo,43.213,-8.691,71.01,95,100,5.17,ES,1661371718
20,Hasaki,35.7333,140.8333,73.29,86,100,14.74,JP,1661371718
21,Pisco,-13.7,-76.2167,63.01,77,20,9.22,PE,1661371500
22,Butaritari,3.0707,172.7902,81.43,67,5,7.9,KI,1661371719
23,Khatanga,71.9667,102.5,46.9,95,100,14.43,RU,1661371719
24,Tuktoyaktuk,69.4541,-133.0374,57.2,88,100,5.75,CA,1661371720
25,Kieta,-6.2167,155.6333,77.92,83,100,1.86,PG,1661371720
26,Bama,11.5221,13.6856,71.11,94,100,6.64,NG,1661371720
27,Alikalia,9.1667,-11.4,70.07,99,100,3.91,SL,1661371721
28,Airai,-8.9266,125.4092,54.05,88,100,4.07,TL,1661371446
29,Yellowknife,62.456,-114.3525,66.56,55,63,5.99,CA,1661371722
30,Hobart,-42.8794,147.3294,49.26,86,75,4.61,AU,1661371722
31,Ushuaia,-54.8,-68.3,44.26,45,20,9.22,AR,1661371611
32,Albany,42.6001,-73.9662,85.23,52,82,7.54,US,1661371464
33,Broome,42.2506,-75.833,82.15,54,0,8.05,US,1661371723
34,Riverton,40.5219,-111.9391,98.51,22,0,7.0,US,1661371460
35,Chokurdakh,70.6333,147.9167,39.36,85,100,11.92,RU,1661371724
36,Altay,47.8667,88.1167,54.86,30,0,6.8,CN,1661371724
37,Vila Velha,-20.3297,-40.2925,73.35,85,20,10.36,BR,1661371540
38,George Town,5.4112,100.3354,80.89,87,40,0.0,MY,1661371640
39,Berlevåg,70.8578,29.0864,49.95,76,0,5.75,NO,1661371725
40,Baculin,7.4525,126.5842,77.16,84,71,4.12,PH,1661371726
41,Nikolskoye,59.7035,30.7861,73.29,54,88,6.22,RU,1661371726
42,Ribeira Grande,38.5167,-28.7,75.6,78,40,0.0,PT,1661371727
43,Shache,38.4167,77.2406,65.62,61,100,11.68,CN,1661371727
44,Mar del Plata,-38.0023,-57.5575,69.82,69,0,9.22,AR,1661371727
45,Klaksvík,62.2266,-6.589,54.52,96,100,7.38,FO,1661371728
46,Cape Town,-33.9258,18.4232,59.34,79,100,11.01,ZA,1661371729
47,Avarua,-21.2078,-159.775,75.25,69,75,9.22,CK,1661371729
48,Kutum,14.2,24.6667,78.96,56,9,5.93,SD,1661371730
