,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vaini,-21.2,-175.2,66.36,94,20,4.61,TO,1661195851
1,Mataura,-46.1927,168.8643,42.48,96,100,3.02,NZ,1661195852
2,Arman',59.7,150.1667,55.02,99,100,10.87,RU,1661195852
3,Nsanje,-16.92,35.262,71.89,51,5,8.72,MW,1661195790
4,Ranau,5.9538,116.6641,69.94,96,100,1.92,MY,1661195853
5,New Norfolk,-42.7826,147.0587,39.7,81,15,1.99,AU,1661195853
6,Saint-Philippe,-21.3585,55.7679,67.21,75,19,8.63,RE,1661195854
7,Barcelona,41.3888,2.159,81.01,79,20,6.91,ES,1661195855
8,Bluff,-46.6,168.3333,42.8,88,100,11.72,NZ,1661195855
9,Provideniya,64.3833,-173.3,49.77,67,0,2.17,RU,1661195718
10,Algiers,36.7525,3.042,78.62,74,0,9.22,DZ,1661195856
11,Puri,19.8,85.85,79.32,77,100,7.45,IN,1661195856
12,Kill,52.1761,-7.335,64.72,89,0,9.22,IE,1661195857
13,São Filipe,14.8961,-24.4956,78.55,86,100,8.97,CV,1661195857
14,Cape Town,-33.9258,18.4232,59.92,74,0,9.22,ZA,1661195810
15,Bengkulu,-3.8004,102.2655,74.73,88,84,4.23,ID,1661195858
16,Avarua,-21.2078,-159.775,69.85,88,75,5.75,CK,1661195859
17,Punta Arenas,-53.15,-70.9167,44.71,57,20,17.27,CL,1661195859
18,Mar del Plata,-38.0023,-57.5575,58.08,74,75,11.5,AR,1661195784
19,Clyde River,70.4692,-68.5914,39.16,81,73,14.38,CA,1661195640
20,Nikolskoye,59.7035,30.7861,69.69,82,99,2.8,RU,1661195860
21,Ushuaia,-54.8,-68.3,44.22,56,0,2.3,AR,1661195861
22,Qaanaaq,77.484,-69.3632,38.34,63,78,0.29,GL,1661195861
23,Atuona,-9.8,-139.0333,75.7,67,19,12.57,PF,1661195862
24,Bathsheba,13.2167,-59.5167,88.41,66,40,12.66,BB,1661195862
25,Hermanus,-34.4187,19.2345,52.81,83,100,10.58,ZA,1661195863
26,Kolyshley,52.7005,44.5367,70.21,48,0,9.37,RU,1661195864
27,Samarai,-10.6167,150.6667,78.33,84,36,11.25,PG,1661195864
28,Ribeira Grande,38.5167,-28.7,77.4,69,40,6.91,PT,1661195865
29,Torbay,47.6666,-52.7314,76.87,70,40,18.41,CA,1661195865
30,Kisangani,0.5167,25.2,72.05,97,100,1.66,CD,1661195866
31,Dolisie,-4.1997,12.6739,72.05,80,100,5.5,CG,1661195866
32,Ixtapa,20.7,-105.2,90.23,51,20,5.99,MX,1661195575
33,Xiaoweizhai,26.1903,107.5125,71.37,98,99,3.22,CN,1661195867
34,Richards Bay,-28.783,32.0377,60.85,69,0,4.47,ZA,1661195867
35,Hobart,-42.8794,147.3294,40.05,79,9,9.22,AU,1661195754
36,Batagay,67.6333,134.6333,45.95,84,100,7.92,RU,1661195868
37,Rikitea,-23.1203,-134.9692,69.82,72,22,12.1,PF,1661195868
38,Chokurdakh,70.6333,147.9167,52.65,90,100,8.19,RU,1661195650
39,Ilulissat,69.2167,-51.1,44.62,87,100,18.41,GL,1661195874
40,Ha Tinh,18.3333,105.9,79.2,83,100,3.94,VN,1661195874
41,Albany,42.6001,-73.9662,77.72,97,100,3.31,US,1661195736
42,Hilo,19.7297,-155.09,81.28,78,100,4.61,US,1661195652
43,Roblin,51.23,-101.3565,72.05,67,92,11.48,CA,1661195875
44,Kahului,20.8947,-156.47,79.97,80,40,8.05,US,1661195876
45,Olafsvik,64.8945,-23.7142,49.46,71,55,10.22,IS,1661195876
46,Vanavara,60.34,102.2797,41.34,93,100,4.0,RU,1661195876
47,Gobabis,-22.45,18.9667,56.95,17,0,11.43,NA,1661195877
48,Jaqué,7.5175,-78.1703,77.25,90,100,9.08,PA,1661195878
49,Buala,-8.145,159.5921,79.68,81,100,8.08,SB,1661195878
50,Basco,20.4487,121.9702,84.2,78,14,21.85,PH,1661195878
51,Klaksvík,62.2266,-6.589,52.72,84,100,18.39,FO,1661195651
52,Santa Lucía,27.9117,-15.5407,72.77,73,20,28.77,ES,1661195681
53,Thompson,55.7435,-97.8558,64.56,45,20,0.0,CA,1661195879
54,Zhuhai,22.2769,113.5678,85.86,89,20,2.3,CN,1661195880
55,Fartura,-23.3883,-49.51,70.65,60,11,9.51,BR,1661195880
56,Te Anau,-45.4167,167.7167,37.29,93,85,4.09,NZ,1661195881
57,Kidal,18.4411,1.4078,100.71,10,3,11.5,ML,1661195670
58,Port-Gentil,-0.7193,8.7815,75.16,94,100,13.8,GA,1661195881
