City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Punta Arenas,-53.15,-70.9167,42.91,61,40,19.57,CL,1661632214
Portland,45.5234,-122.6762,73.58,53,75,6.91,US,1661632434
Chokurdakh,70.6333,147.9167,49.03,63,20,6.82,RU,1661632477
College,64.8569,-147.8028,56.59,88,100,0.0,US,1661632478
Nouakchott,18.0858,-15.9785,82.33,81,5,13.42,MR,1661632478
Belaya Gora,68.5333,146.4167,52.59,61,98,3.89,RU,1661632479
Mossamedes,-15.1961,12.1522,60.55,84,24,11.32,AO,1661632479
Lebu,-37.6167,-73.65,49.77,70,0,19.48,CL,1661632360
Ukiah,39.1502,-123.2078,96.44,31,0,4.0,US,1661632301
Katherine,-14.4667,132.2667,71.92,60,9,4.61,AU,1661632480
Atuona,-9.8,-139.0333,77.05,74,86,18.95,PF,1661632481
Nome,64.5011,-165.4064,53.67,77,100,0.0,US,1661632392
Sakakah,29.9697,40.2064,90.09,14,0,5.35,SA,1661632482
Castro,-24.7911,-50.0119,64.78,65,0,2.82,BR,1661632482
Rikitea,-23.1203,-134.9692,71.11,65,98,22.48,PF,1661632482
Kruisfontein,-34.0033,24.7314,49.89,83,0,5.86,ZA,1661632483
Tiksi,71.6872,128.8694,46.74,81,41,3.44,RU,1661632484
Hilo,19.7297,-155.09,83.12,64,0,5.75,US,1661632409
Aykhal,66.0,111.5,32.77,83,45,4.23,RU,1661632484
Inhambane,-23.865,35.3833,70.34,86,0,9.86,MZ,1661632485
Mataura,-46.1927,168.8643,46.47,86,100,0.69,NZ,1661632485
Gwadar,25.1216,62.3254,79.29,80,43,11.01,PK,1661632486
Bilibino,68.0546,166.4372,48.29,64,100,3.89,RU,1661632486
Petropavlovsk-Kamchatskiy,53.0452,158.6483,52.39,100,100,4.47,RU,1661632288
Tezu,27.9167,96.1667,76.78,98,100,0.74,IN,1661632487
Narsaq,60.9167,-46.05,53.82,82,95,1.92,GL,1661632487
Padang,-0.9492,100.3543,76.62,87,100,1.74,ID,1661632488
Hithadhoo,-0.6,73.0833,81.72,74,99,11.41,MV,1661632488
Semey,50.4111,80.2275,58.82,61,58,8.48,KZ,1661632489
Mahébourg,-20.4081,57.7,71.89,88,75,13.8,MU,1661632490
Opuwo,-18.0607,13.84,64.18,40,0,4.74,NA,1661632490
Torbay,47.6666,-52.7314,73.38,78,75,21.85,CA,1661632256
Pitimbu,-7.4706,-34.8086,75.79,80,57,14.0,BR,1661632491
Batemans Bay,-35.7167,150.1833,51.1,92,83,3.87,AU,1661632491
Katsuura,35.1333,140.3,77.02,86,100,7.9,JP,1661632492
East London,-33.0153,27.9116,59.07,66,20,7.72,ZA,1661632493
Hermanus,-34.4187,19.2345,53.8,72,0,0.45,ZA,1661632493
Carnarvon,-24.8667,113.6333,61.57,62,5,13.87,AU,1661632494
Pekalongan,-6.8886,109.6753,76.69,81,100,4.52,ID,1661632494
Skjervøy,70.0311,20.9714,51.8,78,89,5.84,NO,1661632495
Ancud,-41.8697,-73.8203,47.23,66,61,5.32,CL,1661632495
Brae,60.3964,-1.353,52.47,84,96,7.99,GB,1661632496
San Patricio,28.017,-97.5169,93.16,48,35,14.94,US,1661632496
Jamestown,42.097,-79.2353,79.52,43,0,4.61,US,1661632239
Ushuaia,-54.8,-68.3,37.02,80,75,27.63,AR,1661632209
Ostrovnoy,68.0531,39.5131,56.84,74,90,17.56,RU,1661632497
Cherskiy,68.75,161.3,52.23,59,32,9.69,RU,1661632497
Thompson,55.7435,-97.8558,80.76,47,40,10.36,CA,1661632498
Buala,-8.145,159.5921,81.01,77,100,11.74,SB,1661632498
Puerto Ayora,-0.7393,-90.3518,75.16,86,64,8.99,EC,1661632499
Faanui,-16.4833,-151.75,77.04,74,14,7.74,PF,1661632499
Kumul,42.8,93.45,69.04,27,41,11.36,CN,1661632500
Vieux-Habitants,16.0589,-61.7659,81.72,69,8,11.23,GP,1661632500
Sioux Lookout,50.1001,-91.917,69.87,78,100,10.36,CA,1661632501
Muros,42.7762,-9.0603,72.68,86,100,4.07,ES,1661632501
